ID,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
3433,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,MALAYSIA,0.0,17.82,,31
4339,EPX,Travel Agency,Online,Cancellation Plan,0,85,SINGAPORE,69.0,0.0,,36
34590,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,MALAYSIA,19.8,11.88,,75
55816,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,INDONESIA,20.0,0.0,,32
13816,EPX,Travel Agency,Online,Cancellation Plan,0,10,"KOREA, REPUBLIC OF",15.0,0.0,,29
50349,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,64,THAILAND,49.5,29.7,,36
9921,JZI,Airlines,Online,Value Plan,0,23,JAPAN,-69.0,24.15,F,26
21923,JZI,Airlines,Online,Basic Plan,0,31,HONG KONG,26.0,9.1,M,60
2236,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,5,AUSTRALIA,19.8,11.88,,57
14486,EPX,Travel Agency,Online,Cancellation Plan,0,100,INDONESIA,21.0,0.0,,47
5470,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,71,THAILAND,23.0,0.0,,36
7902,EPX,Travel Agency,Online,Cancellation Plan,0,7,UNITED STATES,57.0,0.0,,50
38182,EPX,Travel Agency,Online,Cancellation Plan,0,18,SINGAPORE,10.0,0.0,,36
31023,C2B,Airlines,Online,Bronze Plan,0,15,SINGAPORE,18.0,4.5,M,42
39039,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,AUSTRALIA,39.6,23.76,,45
42497,EPX,Travel Agency,Online,Cancellation Plan,0,27,MALAYSIA,10.0,0.0,,36
23516,SSI,Airlines,Online,Ticket Protector,0,162,SINGAPORE,7.0,1.96,,48
43173,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,5,CHINA,20.0,0.0,,36
21158,CSR,Travel Agency,Offline,Comprehensive Plan,0,240,THAILAND,29.0,9.57,F,26
3623,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,140,SPAIN,0.0,23.76,,31
38057,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,8,MEXICO,112.0,0.0,,35
8024,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,36,UNITED KINGDOM,78.0,0.0,,36
52345,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,3,MALAYSIA,20.0,0.0,,36
9961,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,AUSTRALIA,49.5,29.7,,32
27257,JZI,Airlines,Online,Basic Plan,0,14,THAILAND,18.0,6.3,F,28
54796,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,THAILAND,29.7,17.82,,23
1141,EPX,Travel Agency,Online,Cancellation Plan,0,50,MALAYSIA,21.0,0.0,,36
17595,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,41,HONG KONG,0.0,0.0,,36
10098,EPX,Travel Agency,Online,Cancellation Plan,0,8,"TAIWAN, PROVINCE OF CHINA",23.0,0.0,,36
47578,C2B,Airlines,Online,Silver Plan,0,15,SINGAPORE,62.0,15.5,F,30
10628,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,72,MALAYSIA,20.0,0.0,,36
12932,SSI,Airlines,Online,Ticket Protector,0,26,SINGAPORE,14.28,4.0,,48
4770,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,UNITED KINGDOM,29.7,17.82,,28
54347,C2B,Airlines,Online,Silver Plan,0,6,SINGAPORE,29.5,7.38,F,23
26006,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,1,"KOREA, REPUBLIC OF",57.0,0.0,,36
56070,JZI,Airlines,Online,Basic Plan,0,81,THAILAND,22.0,7.7,M,54
31874,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,133,"TAIWAN, PROVINCE OF CHINA",41.0,0.0,,36
6394,C2B,Airlines,Online,Bronze Plan,0,2,SINGAPORE,17.25,4.31,M,37
53097,KML,Travel Agency,Online,Premier Plan,1,21,INDONESIA,38.0,14.44,F,48
27384,EPX,Travel Agency,Online,Cancellation Plan,0,72,CANADA,10.0,0.0,,29
11513,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,PHILIPPINES,20.0,0.0,,36
29706,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,30,PHILIPPINES,20.0,0.0,,36
43467,SSI,Airlines,Online,Ticket Protector,0,56,SINGAPORE,1.09,0.31,,48
49023,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,30,ARGENTINA,79.2,47.52,,30
1349,EPX,Travel Agency,Online,Cancellation Plan,0,6,VIET NAM,18.0,0.0,,36
45278,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,SINGAPORE,20.0,0.0,,36
21282,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,132,HONG KONG,23.0,0.0,,36
46470,RAB,Airlines,Online,Value Plan,0,5,BRUNEI DARUSSALAM,15.0,6.0,F,28
7372,EPX,Travel Agency,Online,Cancellation Plan,0,11,VIET NAM,10.0,0.0,,38
39408,EPX,Travel Agency,Online,1 way Comprehensive Plan,0,27,CHINA,26.0,0.0,,36
28371,EPX,Travel Agency,Online,2 way Comprehensive Plan,0,55,"KOREA, REPUBLIC OF",56.0,0.0,,36
53271,EPX,Travel Agency,Online,Cancellation Plan,0,23,UNITED ARAB EMIRATES,80.0,0.0,,36
